,calculated_duration
0,155.0
1,489.0
2,124.0
3,124.0
4,62.0
5,93.0
6,427.0
7,
8,
9,706.0
10,124.0
11,93.0
12,155.0
13,
14,
15,2073.0
16,
17,365.0
18,2617.0
19,3285.0
20,458.0
21,365.0
22,186.0
23,186.0
24,248.0
25,248.0
26,3168.0
27,3285.0
28,155.0
29,279.0
30,62.0
31,186.0
32,1095.0
33,1250.0
34,124.0
35,124.0
36,124.0
37,124.0
38,155.0
39,947.0
40,93.0
41,155.0
42,1405.0
43,792.0
44,489.0
45,93.0
46,551.0
47,792.0
48,520.0
49,155.0
50,1281.0
51,458.0
52,1219.0
53,551.0
54,365.0
55,93.0
56,341.0
57,
58,
59,4504.0
60,4294.0
61,3261.0
62,1281.0
63,93.0
64,93.0
65,675.0
66,365.0
67,124.0
68,186.0
69,458.0
70,186.0
71,1071.0
72,2865.0
73,310.0
74,2166.0
75,2011.0
76,186.0
77,427.0
78,730.0
79,186.0
80,916.0
81,279.0
82,124.0
83,489.0
84,310.0
85,217.0
86,551.0
87,730.0
88,885.0
89,675.0
90,93.0
91,62.0
92,
93,1250.0
94,582.0
95,248.0
96,186.0
97,427.0
98,2190.0
99,310.0
100,427.0
101,730.0
102,93.0
103,155.0
104,248.0
105,62.0
106,551.0
107,582.0
108,427.0
109,279.0
110,93.0
111,155.0
112,520.0
113,365.0
114,93.0
115,62.0
116,93.0
117,1157.0
118,1584.0
119,155.0
120,93.0
121,93.0
122,93.0
123,341.0
124,947.0
125,341.0
126,2741.0
127,520.0
128,706.0
129,2190.0
130,582.0
131,730.0
132,582.0
133,124.0
134,155.0
135,520.0
136,279.0
137,1646.0
138,730.0
139,93.0
140,93.0
141,644.0
142,730.0
143,823.0
144,489.0
145,1887.0
146,
147,730.0
148,823.0
149,155.0
150,155.0
151,124.0
152,341.0
153,792.0
154,978.0
155,520.0
156,248.0
157,124.0
158,520.0
159,730.0
160,124.0
161,582.0
162,124.0
163,675.0
164,248.0
165,730.0
166,582.0
167,458.0
168,186.0
169,644.0
170,93.0
171,186.0
172,427.0
173,885.0
174,2500.0
175,2500.0
176,551.0
177,489.0
178,62.0
179,155.0
180,582.0
181,341.0
182,489.0
183,675.0
184,823.0
185,613.0
186,341.0
187,427.0
188,885.0
189,155.0
190,551.0
191,248.0
192,341.0
193,186.0
194,93.0
195,124.0
196,341.0
197,582.0
198,489.0
199,217.0
200,93.0
201,1646.0
202,
203,1188.0
204,489.0
205,155.0
206,186.0
207,3960.0
208,1040.0
209,217.0
210,1801.0
211,520.0
212,124.0
213,310.0
214,613.0
215,124.0
216,
217,
218,458.0
219,93.0
220,155.0
221,217.0
222,520.0
223,279.0
224,1522.0
225,1219.0
226,644.0
227,341.0
228,916.0
229,2190.0
230,582.0
231,365.0
232,155.0
233,365.0
234,1343.0
235,1918.0
236,3743.0
237,1615.0
238,427.0
239,675.0
240,1040.0
241,1281.0
242,613.0
243,854.0
244,155.0
245,582.0
246,
247,730.0
248,551.0
249,706.0
250,885.0
251,93.0
252,62.0
253,62.0
254,
255,1405.0
256,310.0
257,365.0
258,248.0
259,1157.0
260,124.0
261,186.0
262,186.0
263,124.0
264,248.0
265,155.0
266,124.0
267,155.0
268,186.0
269,489.0
270,217.0
271,155.0
272,341.0
273,1157.0
274,2920.0
275,3230.0
276,365.0
277,730.0
278,155.0
279,520.0
280,62.0
281,1436.0
282,1887.0
283,551.0
284,3137.0
285,365.0
286,62.0
287,310.0
288,
289,1646.0
290,458.0
291,551.0
292,124.0
293,1281.0
294,916.0
295,186.0
296,1281.0
297,186.0
298,675.0
299,582.0
300,1040.0
301,675.0
302,155.0
303,93.0
304,427.0
305,341.0
306,458.0
307,365.0
308,1436.0
309,365.0
310,582.0
311,248.0
312,
313,
314,2555.0
315,4628.0
316,4628.0
317,248.0
318,854.0
319,854.0
320,217.0
321,62.0
322,644.0
323,186.0
324,341.0
325,365.0
326,1553.0
327,458.0
328,341.0
329,644.0
330,124.0
331,124.0
332,62.0
333,1825.0
334,2190.0
335,186.0
336,644.0
337,186.0
338,310.0
339,427.0
340,279.0
341,582.0
342,613.0
343,186.0
344,2190.0
345,1250.0
346,613.0
347,2190.0
348,489.0
349,
350,1825.0
351,730.0
352,489.0
353,823.0
354,792.0
355,1095.0
356,124.0
357,217.0
358,427.0
359,520.0
360,458.0
361,365.0
362,248.0
363,489.0
364,730.0
365,155.0
366,
367,
368,885.0
369,520.0
370,458.0
371,1095.0
372,854.0
373,730.0
374,730.0
375,
376,2042.0
377,582.0
378,1343.0
379,2104.0
380,341.0
381,582.0
382,310.0
383,520.0
384,124.0
385,93.0
386,124.0
387,427.0
388,1188.0
389,365.0
390,124.0
391,2531.0
392,458.0
393,62.0
394,62.0
395,248.0
396,706.0
397,155.0
398,730.0
399,365.0
400,124.0
401,93.0
402,93.0
403,155.0
404,427.0
405,427.0
406,2531.0
407,0.0
408,0.0
409,62.0
410,124.0
411,0.0
412,155.0
413,489.0
414,706.0
415,520.0
416,186.0
417,
418,
419,1219.0
