,role_or_degree,education_code
0,"bachelor's degree in electronics engineering, electrical, electronics and communications engineering",1529
1,"bachelor of science in business administration, major in computer applications",1194
2,"senior high school, stem (science, technology, engineering, and mathematics)",3143
3,"bachelor of science in computer science, computer science",1262
4,"bachelor of science, computer engineering",1448
5,computer repair and maintenance,2310
6,"master's degree, labor and industrial relations",2894
7,"bachelor of science - bs, sociology",1069
9,"bachelor of science - bs, computer science",988
10,"bachelor of science in business administration, major in human resources development management",1198
11,"bachelor of science - bs, psychology",1065
12,"bachelor’s degree, human resource development management",1827
13,"bachelor of science in information technology, major in web programming",1348
14,"bachelor's degree, information technology",1673
15,"bachelor of science - bs, information technology",1032
16,"bachelor's degree, business administration and management",1597
17,"vocational 2 years course of electronic technology, electronic technology",3198
18,bachelor of science in clinical psychology,1225
19,"bachelor of science , psychology",927
20,2011 - 2015,133
21,"bachelor's degree, psychology",1712
22,2006 - 2010,113
23,"bsece, electronics and communications",2181
24,"bachelor's degree, civil engineering",1614
25,bachelor's degree,1521
26,"bachelors of science in medical technology , clinical laboratory science/medical technology/technologist",1750
27,"doctor of medicine - md, medicine",2395
28,"web developer, computer programming",3207
29,"bachelor of science, business administration major in human resource development management",1436
30,bachelor of science in information technology,1331
31,bs information technology,2026
33,"bachelor's degree, computer engineering",1619
34,"master's degree, business administration and management, general",2875
35,"business administration major in marketing management, business administration and management",2197
36,"marketing management, marketing",2697
37,1996 - 2008,62
38,"bachelor in public administration, political science and government",389
39,"bachelor of science - bs, entrepreneurial management",1007
40,"bachelor of science - bs, electrical, electronics and communications engineering",999
41,"bachelor of science - bs, electrical and electronics engineering",996
43,"bachelor's degree, electronics and communications engineering",1642
44,"bachelor of science in information technology, information systems development",1344
45,"high school diploma, high school/secondary diplomas and certificates",2526
46,"bachelor of science - bs, information and communication technology",1027
47,"bachelor of science in information systems, information management",1330
48,"bachelor of science in computer science, application development",1257
49,industrial facilities technology,2588
50,k-12 program,2637
51,"bachelor of science major in psychology, industrial and organizational psychology",1420
54,"bachelor of arts - ba, psychology",502
55,"bachelor of science - bs, industrial engineering",1024
56,2014 - 2018,147
57,"bachelor of science in information technology, software development",1351
59,"bachelor of science in psychology, psychology",1398
60,"bachelor of science in computer engineering, computer engineering",1247
61,industrial electronics technology,2584
62,"bs, information technology",2104
63,"bachelor of science in information technology, information technology",1345
65,"bachelor of science - bs, industrial and organizational psychology",1022
66,"bachelor of information technology, information technology",695
67,"bachelor of science in business administration major in, human resources development management",1168
69,"bachelor of science in business administration major in human resource development management, business administration and management, human resource",1155
70,"bachelor’s degree, information technology",1839
71,"bachelor of science, psychology",1493
73,"bscs major in application development, computer programming/programmer, general",2169
74,"bachelor of science in business administration, human resources development management",1185
75,"bachelor's degree, electrical, electronics and communications engineering",1641
76,"bachelor of science (bs), major in information system",889
77,2004 - 2008,104
78,"bachelor of arts (ba), communication arts",454
80,"bachelor’s degree, sociology",1871
81,"bachelor of science, economics",1452
82,a.b. communication arts,163
83,"bachelor of science, electronics and communication engineering",1458
84,"bachelor’s degree, business administration; management",1809
85,high school,2513
88,"diploma in strategic human resource management & development, ateneo cord",2365
89,"bachelor of science (b.s.), business administration major in human resources management",729
91,"bachelor of science in electronics engineering, electrical, electronics and communications engineering",1296
92,"master of science (msc), industrial engineering and management",2831
93,"certificate, property management",2256
94,"bachelor of science, electrical engineering",1455
96,"center for organization research and development (cord), diploma course in strategic human resource management and development",2219
98,"certificate course, learning design and evaluation",2228
99,"ba-english (literature), english literature",356
100,"secondary education, high school",3116
101,1990 - 1997,32
102,"graduate degree, bachelor of science in psychology",2504
103,"bachelor's degree, human resources management/personnel administration, general",1666
104,"bachelor of science (b.s.), pharmacy",794
105,"bachelor of science (b.s.), registered nursing/registered nurse",800
107,"bachelor of science (b.s.), mathematics and computer science",788
109,"bachelor of science - bs, electronics engineering",1003
112,"bachelor of business administration - bba, financial management",600
113,"president, supreme student government",3064
114,"bachelor of science (b.s.), computer engineering",741
115,2005 - 2009,107
116,2014 - 2019,148
118,"bachelor of science - bs , mechanical engineering",932
119,high school diploma,2517
120,"bachelor of science - bs, electronics engineering, industrial automation and control specialization",1004
121,computer programming (comprog),2307
122,"master's degree, industrial and organizational psychology",2892
124,"bs, nursing",2110
125,"bachelor of business administration - bba, business administration, management and operations",592
126,"associate's degree, pre-dentistry studies",273
127,dentistry,2336
128,secondary school,3122
129,"bachelor of science (bs), psychology",910
130,"bs psychology, psychology",2074
132,"bachelor of science (b.s.), industrial and organizational psychology",766
134,"bachelor of arts - ba, economics",483
136,"bachelor of business administration (bba), medical office management/administration",581
137,ba public administration,343
138,"bachelor’s degree, computer science",1818
140,"bachelor of science, information technology specialized in .net technology",1469
141,high school graduate,2538
143,high school/secondary diplomas and certificates,2558
144,"bachelor of arts (b.a.), political science",443
146,"bachelor of science in business administration major in marketing management, major in marketing management",1165
147,marketing management ,2696
150,"master of arts in multimedia arts, digital communication and media/multimedia",2740
151,"bachelor of science in information technology, information system development",1343
153,2013 - 2016,142
155,"bachelor's degree, computer science",1620
157,"bachelor's degree, electrical and electronics engineering",1637
158,"bachelor's degree, business administration and management, general",1598
159,"bachelor's degree, multimedia technologies",1698
160,secondary,3107
161,primary,3065
162,"bachelor of science in information technology, programming",1350
163,"graduate, biology/biological sciences, general",2510
164,valedictorian,3194
165,"information technology, computer programming",2596
166,"bachelor of engineering - be, computer engineering",679
168,"bachelor of arts, psychology",547
170,"elementary 1 - korean, elementary 1 korean",2428
172,"diploma, baking and pastry arts/baker/pastry chef",2375
173,"bachelor's degree, hotel/motel administration/management",1658
175,"bachelor of science, electronics engineering",1461
177,certificate in teaching program,2241
178,bachelor of science,713
179,bachelor of science in business administration major in human resource management,1159
180,"bachelor of science (b.s.), mechanical engineering",790
181,"high school diploma, high school/secondary diploma programs",2525
182,"bachelor of science in mathematics , computer science",1369
183,"science, technology, engineering and mathematics ",3104
185,2007 - 2024,121
186,"bachelor of sciene in mathematics with specialization in computer science, mathematics and computer science",1500
187,2012 - 2018,139
188,"bachelor of science in computer science, software engineering",1270
189,"master of arts in psychology, industrial psychology",2744
192,"certificate in professional teaching program, basic education",2239
194,"bachelor of science in business administration, human resource development management",1182
195,"bachelor of science - bs, electrical engineering",997
196,psychology,3083
199,bachelor of science in computer engineering,1245
200,"master of science - ms, clinical psychology",2833
202,"bachelor of science in information and communication technology, computer software engineering",1323
204,"master of science in applied mathematics, operations research",2844
205,"bs, applied mathematics",2084
206,"bachelor's degree in, information technology",1534
208,web development (tesda accredited),3209
209,"bachelor's degree, bachelor of science in computer engineering",1564
211,"bachelor's degree, hotel and restaurant management",1655
212,"bachelor's degree, customs administration",1631
213,information technology,2593
215,"bachelor of arts (ba), psychology",469
216,"master of science - ms, electronics engineering",2835
218,"bachelor's degree, computer/information technology administration and management",1628
220,"bachelor of business administration, human resources development",625
224,"bachelor of science in business administration, computer applications with specialization in business analytics",1177
226,"high school diploma, general studies",2523
228,secondary education,3111
229,primary education,3069
230,"bachelor's degree, industrial and organizational psychology",1668
232,"bachelor's degree, human resource development management",1659
233,"bachelor’s degree, electrical, electronics and communications engineering",1822
234,bs psychology,2061
235,"bachelor of arts (ba), behavioral sciences",450
237,bachelor of science in industrial engineering,1317
238,bachelor of science in chemical engineering,1220
239,2013 - 2017,143
240,"bachelor of science - bs, electronics and communications engineering",1002
242,"bachelor of science - bs, computer engineering",987
245,"bachelor of science in business administration, human resources development",1184
246,"master of business administration - mba, marketing/marketing management, general",2793
247,"bachelor's degree, office management and supervision",1704
248,"bachelor of science in business administration major in financial management, financial management",1153
249,"senior high school, accountancy, business and management",3136
250,ba psychology,342
251,"bachelor of science in business administration, marketing",1204
252,"bachelor's degree, clinical laboratory science/medical technology/technologist",1615
