,establishment,establishment_code
0,accenture,133
2,chiyoda corporation ,1184
3,accenture in the philippines,142
6,pru life uk ,4893
7,ad astra: the benildean yearbook,212
10,realme philippines ,5038
11,"technokids | k-12 project-based lessons | google, microsoft, coding, adobe, blogging ",6060
12,accenture ,134
13,dxc technology,1830
18,hewlett packard enterprise,2707
26,"sykes enterprises, inc.",5962
29,"medilink network, inc.",3778
30,hytec power inc ,2833
32,sterling ,5812
33,polytechnic university of the philippines,4801
34,moët hennessy,3978
35,"vertere global solutions, inc. ",6607
37,manulife ,3668
38,amdocs,409
40,jump digital asia pte. ltd. ,3284
42,"sykes enterprises, incorporated",5963
44,topserve manpower solutions inc.,6257
45,sgs,5410
47,suburbia automotive ventures inc.,5866
49,virtuallyincredible ,6638
50,solaire resort and casino ,5652
52,upwork ,6549
53,code moon ,1305
54,go3 solutions inc ,2545
55,commission on higher education ,1358
59,accenture in the philippines ,143
64,concentrix,1381
67,mustard seed systems corporation,4016
72,accenture philippines ,151
73,hgst a western digital company,2724
74,"hgst, a western digital company",2726
76,asticom technology inc.,621
77,"abs-cbn shared service center pte., ltd - rohq",121
79,ibm global process services,2872
80,abs-cbn corporation,110
81,sm supermalls,5569
82,"philippine mental health association, inc.",4665
84,talent reserve manpower corp,6018
87,concentrix ,1382
88,teleperformance philippines,6081
90,convergys,1411
91,st. joseph psychiatric and custodial homecare,5746
95,alorica,360
96,alorica phil inc.,362
103,aaisi ,75
104,m and j solutions provider inc. ,3561
105,dubbel philippines inc. ,1820
109,st. luke's medical center ,5748
111,appetiser apps ,484
112,ibm,2858
114,wallcrown design center inc. ,6688
115,convergys ,1412
117,infor ,2982
119,makati finance corporation,3612
120,informatics,2985
121,vfts .net,6620
122,enchated kingdom (philippines),2027
129,sysgen rpo,5983
130,jll,3229
131,sysgen,5981
132,geco-group,2448
133,teleperformance,6076
134,apac customer services,471
138,sitel,5529
140,hsbc ,2805
141,ampersand ,434
145,dowi hosiery mills ,1802
149,top one service center,6253
150,pldt,4764
152,telus international philippines ,6107
153,ttec ,6381
154,teleperformance philippines ,6082
157,philippine nuclear research institute ,4672
162,royal caribbean international ,5186
167,accenture: avanade inc.,159
168,j.p. morgan chase & co.,3191
170,strategic networks inc ,5843
171,ringcentral ,5113
172,kolin philippines international incorporated ,3363
175,accenture inc.,146
177,bradphil inc ,941
178,tokwing construction corporation ,6244
181,eye society incorporated,2175
183,kettle foods corporation,3333
186,zynco corporation,6932
188,oriental mindoro rehabilitation and recovery center ,4406
190,accenture via eteam ,156
191,cnz construction corporation ,1279
192,king sue ham and sausages co. inc. ,3351
193,pk and sons supermarket ,4753
194,xti shell fuel station ,6857
195,megamasterlink fabricator and genaral merchandise ,3786
196,san felipe neri catholic school ,5261
197,dr. carlos s. lanting college ,1807
199,ya horng electronic philippines inc. ,6861
200,"human nature (gandang kalikasan, inc.) ",2821
205,university of baguio,6481
206,mcdonald's philippines (golden arches development corporation),3747
207,accenture - atcp ,137
208,rizal technological university - electronics and communications engineering department ,5126
210,manila doctors hospital,3635
211,hi- precision diagnostics,2727
213,pace academy,4431
215,pldt ,4765
223,atos information technology inc.,658
225,siemens it solutions and services inc.,5502
227,"alorica phils,inc.",366
229,cognizant technology solutions,1317
230,seven seven global services incorporated,5406
231,ust global,6562
234,pointwest technologies,4795
236,sm retail ,5566
238,"smits, inc. - it company of san miguel corporation",5618
239,integrated solution technology inc. ,3055
240,competetive it solution inc ,1369
248,collabera inc. ,1335
250,"brisolutions - bravissimo resourcing, inc.",955
251,sciformix,5343
252,"south pacific, inc.",5683
253,pulp live world,4922
256,kata digital ,3316
257,"yondu, inc.",6879
258,simplex,5519
259,isoftsystemsinc,3152
261,korn ferry ,3371
262,agilent technologies ,272
263,experis españa ,2159
264,manpowergroup ,3662
266,probe group ,4857
267,resorts world manila ,5088
270,national bureau of investigation ,4046
271,ubx philippines ,6409
272,euroasia executive search inc. ,2121
273,actionlabs i.t services philippines corp. ,202
274,paramount human resource multi-purpose cooperative,4477
