,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
0,0,software engineer,10394,Transportation and Warehousing,Offshore Supply Vessel Services,4380000.0
1,1,associate software engineer,926,Finance and Insurance,Investment Services,1105000.0
6,6,financial advisor,3627,Professional Services,Management Consulting,1200000.0
41,46,technical recruiter,11520,Technology,Internet Gaming Website,900000.0
48,55,web developer,12240,Technology,Business Management Software Development,960000.0
49,56,senior software engineer,9927,Engineering and Sciences,Computer or Network Security Services,2400000.0
56,66,customer service advisor,2578,Professional Services,Marketing and Distribution Center,288000.0
57,67,sales administrator,8862,Wholesale Trade,"Household Appliances or Consumer Electronics, Wholesale",780000.0
60,70,customer care specialist,2474,Technology,Information Technology (IT) Systems Design or Integration,600000.0
66,76,recruitment consultant,8421,Finance and Insurance,Financial Services,975000.0
79,95,unit manager,12008,Education,Leadership Training and Development,3200000.0
85,102,recruiting associate,8339,Technology,Information Technology (IT) Services,380000.0
91,110,recruiting analyst,8336,Energy and Utilities,Metal Ore Mining,412000.0
100,125,application support specialist,505,Finance and Insurance,Health Insurance,1200000.0
106,131,recruiter,8331,Professional Services,Travel and Hospitality Services,1560000.0
109,137,talent acquisition specialist,11217,Engineering and Sciences,Engineering Services,528000.0
112,144,customer service specialist,2643,Technology,Software Development,980000.0
113,145,sales coordinator,8895,Professional Services,Industrial Machinery and Equipment Repair and Maintenance,598000.0
118,156,technical support representative,11599,Nonprofits,Religious Organization,720000.0
120,162,quality assurance analyst,8182,Government,Government,800000.0
140,199,purchasing assistant,8121,Construction,Real Estate Development,390000.0
150,219,technical specialist,11547,Professional Services,Travel and Hospitality Services,800000.0
151,220,quality analyst,8172,Finance and Insurance,Insurance and Financial Services,788000.0
158,229,java developer,5677,Finance and Insurance,Insurance and Financial Services,2405000.0
166,243,data analyst,2709,Education,Education,1300000.0
174,257,php developer,7338,Technology,Software Services,660000.0
177,263,technical sourcer,11546,Engineering and Sciences,Business Process Outsourcing,360000.0
192,287,sales executive,8905,Technology,Information Technology (IT) Systems Design or Integration,864000.0
199,296,talent acquisition director,11192,Energy and Utilities,Water Utilities,1450000.0
201,298,recruitment manager,8444,Professional Services,Law Firm,1920000.0
204,302,sales associate,8887,Finance and Insurance,Life Insurance,1200000.0
215,319,procurement assistant,7620,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",766000.0
226,336,facilities manager,3498,Health Care,Specialty Hospital,1200000.0
227,337,assistant operations manager,711,Transportation and Warehousing,Transportation,741000.0
229,339,facilities engineer,3494,Education,Education,500000.0
242,353,instructional designer,5238,Finance and Insurance,Financial Services,840000.0
250,364,sourcing associate,10513,Professional Services,Management Consulting,330000.0
255,369,clinical operations manager,1822,Government,Public Health Department,8880000.0
260,374,medical assistant,6610,Health Care,Hospital,250000.0
261,378,systems analyst,11129,Professional Services,Travel Agency,1100000.0
266,384,technical support specialist,11623,Professional Services,Technical Support Services,695000.0
271,389,accounting assistant,140,Finance and Insurance,Property and Casualty Insurance,660000.0
276,400,marketing assistant,6474,Engineering and Sciences,Business Process Outsourcing,380000.0
277,401,production engineer,7763,Manufacturing,Food Manufacturing,300000.0
291,424,administrative assistant,293,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",1100000.0
298,433,senior recruitment consultant,9865,Media and Publishing,Media Network,636000.0
302,437,customer service associate,2588,Health Care,Health Care,444000.0
327,477,software developer,10366,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",1952000.0
328,479,programmer analyst,7867,Finance and Insurance,Banking,900000.0
346,510,graphic designer,4078,Technology,Information Technology (IT) Value Added Reseller (VAR),2000000.0
353,525,project engineer,7922,Energy and Utilities,Gold Ore Mining,2900000.0
360,543,case manager,1600,Finance and Insurance,Banking,552000.0
362,548,service desk analyst,10183,Professional Services,Law Firm,600000.0
395,596,technical support engineer,11570,Manufacturing,"Telecommunication, Computer, and Electronic Product Manufacturing",2200000.0
416,644,application developer,463,Engineering and Sciences,Computer Hardware and Software Design,1403049.0
419,653,recruiting specialist,8349,Finance and Insurance,Banking,580726.0
423,659,operations manager,7013,Professional Services,Drafting Services,7200000.0
426,662,systems developer,11143,Finance and Insurance,Financial Services,1266000.0
427,663,information technology officer,5193,Government,Local Government,1200000.0
434,677,reports analyst,8656,Technology,Information Technology (IT) Services,690000.0
435,678,web designer,12238,Retail and Customer Service,"Cosmetics, Beauty Supplies or Perfume Store",552000.0
436,681,full stack software developer,3833,Finance and Insurance,"Mortgage Lending, Loans, or Credit Products",1344600.0
449,702,training assistant,11861,Finance and Insurance,Insurance and Financial Services,276000.0
458,726,data entry clerk,2757,Finance and Insurance,Financial Services,364000.0
459,728,human resources analyst,4934,Media and Publishing,Business Information Services,624000.0
465,739,flight attendant,3720,Transportation and Warehousing,Airline or Aviation Fixed-Base Operator (FBO),900000.0
522,837,trainer,11846,Engineering and Sciences,Business Process Outsourcing,312000.0
527,842,president,7452,Technology,Information Technology (IT) Services,9500000.0
528,843,treasurer,11949,Energy and Utilities,Energy or Utilities,4285714.0
544,877,software development manager,10387,Finance and Insurance,Financial Services,2600000.0
547,880,process automation engineer,7524,Manufacturing,Automation Original Equipment Manufacturing (OEM),600000.0
551,884,analytics specialist,430,Technology,Telecommunications,812000.0
568,908,sharepoint developer,10273,Technology,Information Technology (IT) Services,1383153.0
596,946,training consultant,11866,Professional Services,Recruiting or Staffing,735000.0
601,961,research and development engineer,8676,Manufacturing,Manufacturing,637000.0
606,979,talent acquisition coordinator,11189,Manufacturing,Solar Photovoltaics (PV) Manufacturing,456000.0
627,1017,executive assistant,3418,Nonprofits,Coalition for Non-Profit Organization,2000000.0
628,1018,call center representative,1546,Professional Services,Telemarketing,912000.0
636,1032,architectural intern,543,Professional Services,Project Management Consulting,240000.0
638,1038,tutor,11989,Education,Tutoring,152.0
649,1055,software tester,10473,Finance and Insurance,Banking,615000.0
669,1098,recruiting manager,8343,Technology,Data Processing Services,1920000.0
682,1116,billing clerk,1190,Retail and Customer Service,New Car Dealer,168576.0
692,1142,business operations analyst,1424,Technology,Unified Communication Services,624000.0
723,1214,analytics consultant,425,Finance and Insurance,Banking,1989950.0
729,1223,digital marketing analyst,2994,Technology,Web Development,516000.0
739,1240,talent acquisition consultant,11188,Professional Services,"Marketing, Advertising, and Media Management",1200000.0
742,1246,senior talent acquisition manager,10036,Engineering and Sciences,Information Technology (IT) Consulting,2038252.0
743,1247,talent acquisition manager,11200,Finance and Insurance,Financial Services,2000000.0
746,1254,process technician,7596,Manufacturing,Semiconductor Chip Manufacturing,142252.0
749,1260,business development manager,1376,Engineering and Sciences,Information Technology (IT) Consulting,2400000.0
774,1304,secretary,9168,Transportation and Warehousing,Commercial Aviation or Airline,1104000.0
785,1334,teacher,11301,Professional Services,Customer Service Call Center,800000.0
802,1374,reporting analyst,8650,Professional Services,Recruiting or Staffing,576000.0
806,1386,executive secretary,3449,Construction,Construction,903512.0
807,1387,client relations associate,1799,Finance and Insurance,Financial Services,372000.0
808,1390,information security specialist,5163,Finance and Insurance,Financial Transaction Processing,1725000.0
809,1396,bank teller,1155,Finance and Insurance,Investment Banking,338000.0
821,1423,process engineer,7538,Accommodation and Food Services,Fast Food Restaurant,650000.0
822,1424,production analyst,7750,Finance and Insurance,Insurance Agency or Brokerage,264000.0
825,1432,administrative aide,290,Education,"Colleges, Universities or Professional School",2376000.0
828,1441,sap data analyst,9000,Engineering and Sciences,Biotechnology Research and Development,600000.0
830,1446,barista,1159,Technology,Information Technology (IT) Services,133632.0
832,1450,biomedical engineer,1197,Health Care,General Medical and Surgical Hospital,2000000.0
838,1466,senior web developer,10114,Professional Services,Online Classified Advertisements,1950000.0
868,1516,personnel assistant,7295,Professional Services,Computer Repair and Maintenance Services,216000.0
896,1561,psychometrician,8094,Nonprofits,Social Services,250000.0
911,1584,web application developer,12227,Finance and Insurance,Insurance Agency or Brokerage,734500.0
929,1604,configuration analyst,2047,Technology,Information Technology (IT) Services,800000.0
933,1611,freelance graphic designer,3787,Manufacturing,Printing and Imaging Solutions,10000.0
934,1612,computer programmer,2031,"Arts, Entertainment and Recreation",Sports Team or Club,1200000.0
936,1614,computer operator,2028,Technology,Information Technology (IT) Services,360000.0
944,1637,managing director,6401,Finance and Insurance,Insurance and Financial Services,20000000.0
