,role_or_degree,role_code
0,software engineer,10394
1,associate software engineer,926
2,instrument engineer,5245
3,sap hybris qa,9028
4,test engineering associate,11756
5,program control services associate,7829
6,financial advisor,3627
7,managing staffer,6407
8,assistant managing editor,705
10,merchandising intern,6649
11,student intern,10891
12,quality auditing specialist,8226
13,supervisor,10936
14,complaints and compliments,1999
15,continuous improvement lead,2133
16,global quality manager,3999
17,release manager,8623
18,new hire on-boarding trainer,6812
19,global service desk,4006
20,document administrator,3116
21,project manager,7987
22,account champion,53
23,knowledge collection and transfer lead,5914
24,service level owner,10212
25,process owner,7577
26,l1 technical support / sme / trainer / team lead assistant,5927
27,tsr,11982
29,systems application specialist,11142
30,frontend developer / web designer intern,3822
31,recruitment analyst,8382
32,people and culture associate,7274
33,college instructor,1922
34,human resources assistant intern,4944
35,programmer analyst iii,7872
37,back end developer,1136
40,android developer,432
41,hr recruiting analyst,4700
42,"hr associate, shared services",4507
43,"hr assistant, shared services",4492
44,recruitment associate,8405
45,hr intern,4593
46,technical recruiter,11520
47,hr/ recruitment coordinator,4831
48,field hr senior specialist,3554
49,human resource business partner & recruitment specialist,4886
50,hr analyst - resort hr business partner ,4454
52,freelance software engineer,3792
53,full stack engineer,3830
55,web developer,12240
56,senior software engineer,9927
59,teamlead,11440
60,pmo,7382
61,pmo senior analyst,7392
62,pmo associate,7388
64,claim consultant,1764
65,back office employee,1137
66,customer service advisor,2578
67,sales administrator,8862
68,customer relations officer - itsg,2570
69,database administrator,2810
70,customer care specialist,2474
71,team lead,11318
72,sap vim/opentext consultant,9115
73,material & spare parts engineer,6564
74,fixed asset management accountant,3710
75,recruitment lead,8440
76,recruitment consultant,8421
78,recruitment sourcing lead,8477
79,offer specialist,6860
81,hr associate,4496
82,intern,5289
84,human resources supervisor,5033
85,human resources assistant,4936
86,recruiting senior analyst,8346
87,talent acquisition supervisor - sourcing,11226
88,recruitment sourcing - specialist,8473
89,recruitment associate - sourcing,8413
93,systems analyst (team lead),11130
94,senior software engineer (quality capability),9930
95,unit manager,12008
96,team manager,11407
97,transaction monitoring supervisor/coordinator,11892
98,sqap,10651
99,"senior associate, quality perform",9314
100,floor leader,3722
102,recruiting associate,8339
103,project management office assistant,7979
104,office admin - pcs,6864
105,on the job trainee,6918
106,test engineering analyst,11755
109,internship trainee,5397
110,recruiting analyst,8336
111,talent sourcing specialist,11268
112,senior preboarding specialist,9761
113,preboarding specialist,7445
114,hr assistant (intern),4469
115,hr operations intern,4643
117,dev business analyst,2952
119,it staff,5615
122,admission attendant/ticket taker,318
125,application support specialist,505
126,senior application support analyst,9274
127,recruitment manager - technology,8445
128,associate recruitment manager,919
129,recruiting team lead,8350
130,assistant manager - talent acquisition,665
131,recruiter,8331
133,customer service representative,2619
136,recruitment supervisor,8488
137,talent acquisition specialist,11217
141,recruitment specialist,8480
143,hr manager,4612
144,customer service specialist,2643
145,sales coordinator,8895
149,internship,5390
152,senior recruitment analyst,9862
153,talent acquisition marketing (sourcing) specialist,11202
154,recruitment sourcing associate,8474
156,technical support representative,11599
160,rpa engineer,8833
162,quality assurance analyst,8182
164,microsoft ips - showcase strategy lead,6666
170,system implementation specialist,11109
171,contact center implementation engineer,2111
172,heating air conditioning service technician,4318
174,hr service delivery new associate,4736
177,qaqc administrator / engr. advisor,8163
178,site civil engineer,10300
179,recruiting senior analyst - campus strategic sourcing,8347
180,recruiting analyst - campus strategic sourcing,8338
182,human resources specialist,5022
186,inbound retention specialist,5089
188,registered psychometrician,8587
189,technical support associate ii,11565
190,recruitment and admin assistant,8390
191,human resources administrative assistant,4929
193,human resources officer,4995
195,human resources coordinator,4962
196,guidance counselor/hr staff,4124
197,hr staff/guidance staff,4791
199,purchasing assistant,8121
200,warehouse operations intern,12212
206,service crew,10141
207,technology architecture manager,11656
208,instructor,5239
211,payroll benefits specialist,7243
213,assistant preschool teacher,714
214,application development associate,476
217,subject matter expert,10906
218,security and compliance officer,9186
219,technical specialist,11547
220,quality analyst,8172
221,customer service analyst,2582
222,intra-day operations analyst,5405
223,workforce analyst,12321
224,real time analyst,8307
225,technical solutions specialist level 2 (service desk),11545
226,technical solutions specialist,11542
229,java developer,5677
233,java consultant,5676
235,human resources business partner specialist,4957
238,application specialist,499
239,programmer/system analyst,7879
240,team lead/programmer,11374
241,corporate recruiter,2271
242,human resources associate - onboarding and background check,4951
243,data analyst,2709
245,java application developer,5673
246,java fullstack application developer,5683
248,application support specialist/java application developer,507
250,recruitment admin assistant,8365
254,advanced application engineering specialists,328
255,senior software engineering,9941
256,mobile developer / web developer,6710
257,php developer,7338
261,coordinator,2194
262,authorized coordinator for agilent technologies,1051
263,technical sourcer,11546
264,senior recruitment associate,9863
265,executive recruitment & candidate management,3447
266,talent acquisition associate,11183
270,project worker,8063
271,frontend web developer,3823
273,talent acquisition specialist - technical/ i.t. recruiter,11219
274,recruitment generalist,8436
275,processor/recruitment analyst,7606
276,recruitment assistant,8400
278,software test engineer,10470
280,product engineering intern,7699
282,asp. net developer specialist,585
284,hr recruitment associate,4707
285,hr administrator,4397
287,sales executive,8905
290,human resource officer,4900
291,human resource assistant,4877
292,human resources intern,4976
293,recruitment operations service delivery leader,8460
294,"assistant vice president, talent acquisition",803
295,human resource - recruitment,4873
296,talent acquisition director,11192
297,senior recruitment manager,9869
298,recruitment manager,8444
299,senior recruitment officer,9870
300,sourcing officer & employee programs officer-in-charge,10525
302,sales associate,8887
304,talent acquisition officer,11203
305,talent acquisition lead,11198
307,senior talent acquisition consultant,10035
308,u.s. senior technical recruiter level iv,11991
310,customer experience consultant,2503
312,electronic engineer,3217
313,hr learning and talent development consultant,4609
314,account management solutions architect,83
315,procure to pay analyst,7609
317,billing and collections officer,1188
319,procurement assistant,7620
320,it project assistant,5562
323,software quality assurance intern,10459
324,hr business partner specialist,4535
325,field hr senior analyst,3553
326,senior human resources generalist,9554
327,hr generalist,4582
332,summer internship,10928
333,location wp engineering manager,6173
334,sr. facilities manager,10699
335,"facilities engineer, ifm - deutsche bank account",3495
336,facilities manager,3498
337,assistant operations manager,711
338,building administrator,1301
339,facilities engineer,3494
340,facilities lead,3496
341,property engineer,8073
342,qa controller,8147
343,cadet engineer,1533
344,people advisor associate manager,7272
346,it recruitment consultant / business development,5571
347,hr business partner and abs hr service desk lead,4528
348,hr and admin assistant,4458
349,manager,6283
350,associate manager,880
351,"team lead, learning and development",11367
352,senior program specialist - talent and development,9809
353,instructional designer,5238
354,communication and culture trainer,1949
355,"faculty member, english area",3528
356,hr-assistant,4826
357,human resources associate,4948
361,project officer,8033
362,recruitment officer,8452
363,talent acquisition associate (vendor management),11186
364,sourcing associate,10513
365,recruitment,8351
366,senior manager,9630
367,service delivery lead,10154
368,clinical quality lead,1827
369,clinical operations manager,1822
370,quality assurance arch associate manager,8190
371,clinical quality auditor,1826
372,intensive care unit nurse,5268
373,staff / charge nurse,10808
374,medical assistant,6610
378,systems analyst,11129
379,senior associate it specialists,9308
380,test automation engineering analyst,11748
381,test automation engineer associate,11747
382,hypercare support - infrastructure services for accenture,5043
384,technical support specialist,11623
385,quality control engineer,8234
386,associate team lead | otc,943
387,business process specialization analyst | otc,1459
388,senior accounts receivable analyst,9228
389,accounting assistant,140
393,software engineer trainee,10431
394,on-the-job trainee,6921
398,data specialist,2802
399,project management executive,7976
400,marketing assistant,6474
401,production engineer,7763
402,aftersales - auto mechanic,341
405,startup project engineer,10829
406,"electronics engineering, industrial automation and control specialization (philippines)",3219
407,"participant, community and technological (commtech) camp highlight 2018, sub course c (indonesia)",7205
408,"delegate, 7th ningbo international students’ festival 2018 (china)",2844
409,professional freelancer,7809
410,exchange student (south korea),3408
411,"delegate, student leadership conference 2017 (philippines)",2845
412,recruitment senior analyst,8466
414,associate,811
418,recruitment associate manager,8415
419,hr recruitment specialist,4715
423,hr service delivery ,4732
424,administrative assistant,293
425,administrative support,310
426,recruiting associate manager,8340
428,offshore talent acquisition manager,6897
430,senior recruiter and talent development specialist (assistant manager role),9858
431,senior hr officer ii (senior lead recruiter),9539
432,senior recruitment officer (corporate recruitment),9871
433,senior recruitment consultant,9865
434,hr and recruitment officer,4464
435,senior recruitment consultant (executive search),9866
436,lead recruiter,6003
437,customer service associate,2588
438,recruiting lead,8341
439,associate talent acquisition manager,940
440,hr operations lead,4644
441,talent acquisition supervisor - recruiting,11225
442,hr recruiting specialist,4701
443,hr support office - recruiter,4799
447,talent acquisition supervisor,11224
448,senior recruitment specialist,9874
449,hr assistant ii,4487
450,career planning analyst,1587
451,human resources services specialist,5020
454,human resources assistant-timekeeping,4947
455,human resources generalist,4972
456,program and project control services associate,7823
457,head of operations,4218
459,recruitment coordinator,8425
460,consultant,2058
461,operations support analyst,7061
464,hr assistant,4467
465,medical records reviewer,6621
466,escalation data analyst ,3364
467,hr business partner,4516
470,management trainee,6268
471,people operations officer,7278
477,software developer,10366
479,programmer analyst,7867
480,software quality assurance,10455
481,o&b event,6851
482,team leader,11375
483,transaction processing analyst,11894
484,eps payment support specialist,3352
485,transaction processing associate,11895
486,network provisioner,6799
487,receipt technician - email support representative,8315
488,data/contract analyst,2809
494,marketing intern,6501
495,staff member (on-the-job training),10818
498,account officer,97
500,hr specialist - recruitment & allocation team,4772
506,application development senior analyst,482
507,service consultant,10140
