,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
0,0,software engineer,10394,Transportation and Warehousing,Offshore Supply Vessel Services,4380000.0
1,1,associate software engineer,926,Finance and Insurance,Investment Services,1105000.0
2,2,instrument engineer,5245,,,
3,3,sap hybris qa,9028,,,
4,4,test engineering associate,11756,,,
5,5,program control services associate,7829,,,
6,6,financial advisor,3627,Professional Services,Management Consulting,1200000.0
7,7,managing staffer,6407,,,
8,8,assistant managing editor,705,,,
9,10,merchandising intern,6649,,,
10,11,student intern,10891,,,
11,12,quality auditing specialist,8226,,,
12,13,supervisor,10936,,,
13,14,complaints and compliments,1999,,,
14,15,continuous improvement lead,2133,,,
15,16,global quality manager,3999,,,
16,17,release manager,8623,,,
17,18,new hire on-boarding trainer,6812,,,
18,19,global service desk,4006,,,
19,20,document administrator,3116,,,
20,21,project manager,7987,,,
21,22,account champion,53,,,
22,23,knowledge collection and transfer lead,5914,,,
23,24,service level owner,10212,,,
24,25,process owner,7577,,,
25,26,l1 technical support / sme / trainer / team lead assistant,5927,,,
26,27,tsr,11982,,,
27,29,systems application specialist,11142,,,
28,30,frontend developer / web designer intern,3822,,,
29,31,recruitment analyst,8382,,,
30,32,people and culture associate,7274,,,
31,33,college instructor,1922,,,
32,34,human resources assistant intern,4944,,,
33,35,programmer analyst iii,7872,,,
34,37,back end developer,1136,,,
35,40,android developer,432,,,
36,41,hr recruiting analyst,4700,,,
37,42,"hr associate, shared services",4507,,,
38,43,"hr assistant, shared services",4492,,,
39,44,recruitment associate,8405,,,
40,45,hr intern,4593,,,
41,46,technical recruiter,11520,Technology,Internet Gaming Website,900000.0
42,47,hr/ recruitment coordinator,4831,,,
43,48,field hr senior specialist,3554,,,
44,49,human resource business partner & recruitment specialist,4886,,,
45,50,hr analyst - resort hr business partner ,4454,,,
46,52,freelance software engineer,3792,,,
47,53,full stack engineer,3830,,,
48,55,web developer,12240,Technology,Business Management Software Development,960000.0
49,56,senior software engineer,9927,Engineering and Sciences,Computer or Network Security Services,2400000.0
50,59,teamlead,11440,,,
51,60,pmo,7382,,,
52,61,pmo senior analyst,7392,,,
53,62,pmo associate,7388,,,
54,64,claim consultant,1764,,,
55,65,back office employee,1137,,,
56,66,customer service advisor,2578,Professional Services,Marketing and Distribution Center,288000.0
57,67,sales administrator,8862,Wholesale Trade,"Household Appliances or Consumer Electronics, Wholesale",780000.0
58,68,customer relations officer - itsg,2570,,,
59,69,database administrator,2810,,,
60,70,customer care specialist,2474,Technology,Information Technology (IT) Systems Design or Integration,600000.0
61,71,team lead,11318,,,
62,72,sap vim/opentext consultant,9115,,,
63,73,material & spare parts engineer,6564,,,
64,74,fixed asset management accountant,3710,,,
65,75,recruitment lead,8440,,,
66,76,recruitment consultant,8421,Finance and Insurance,Financial Services,975000.0
67,78,recruitment sourcing lead,8477,,,
68,79,offer specialist,6860,,,
69,81,hr associate,4496,,,
70,82,intern,5289,,,
71,84,human resources supervisor,5033,,,
72,85,human resources assistant,4936,,,
73,86,recruiting senior analyst,8346,,,
74,87,talent acquisition supervisor - sourcing,11226,,,
75,88,recruitment sourcing - specialist,8473,,,
76,89,recruitment associate - sourcing,8413,,,
77,93,systems analyst (team lead),11130,,,
78,94,senior software engineer (quality capability),9930,,,
79,95,unit manager,12008,Education,Leadership Training and Development,3200000.0
80,96,team manager,11407,,,
81,97,transaction monitoring supervisor/coordinator,11892,,,
82,98,sqap,10651,,,
83,99,"senior associate, quality perform",9314,,,
84,100,floor leader,3722,,,
85,102,recruiting associate,8339,Technology,Information Technology (IT) Services,380000.0
86,103,project management office assistant,7979,,,
87,104,office admin - pcs,6864,,,
88,105,on the job trainee,6918,,,
89,106,test engineering analyst,11755,,,
90,109,internship trainee,5397,,,
91,110,recruiting analyst,8336,Energy and Utilities,Metal Ore Mining,412000.0
92,111,talent sourcing specialist,11268,,,
93,112,senior preboarding specialist,9761,,,
94,113,preboarding specialist,7445,,,
95,114,hr assistant (intern),4469,,,
96,115,hr operations intern,4643,,,
97,117,dev business analyst,2952,,,
98,119,it staff,5615,,,
99,122,admission attendant/ticket taker,318,,,
100,125,application support specialist,505,Finance and Insurance,Health Insurance,1200000.0
101,126,senior application support analyst,9274,,,
102,127,recruitment manager - technology,8445,,,
103,128,associate recruitment manager,919,,,
104,129,recruiting team lead,8350,,,
105,130,assistant manager - talent acquisition,665,,,
106,131,recruiter,8331,Professional Services,Travel and Hospitality Services,1560000.0
107,133,customer service representative,2619,,,
108,136,recruitment supervisor,8488,,,
109,137,talent acquisition specialist,11217,Engineering and Sciences,Engineering Services,528000.0
110,141,recruitment specialist,8480,,,
111,143,hr manager,4612,,,
112,144,customer service specialist,2643,Technology,Software Development,980000.0
113,145,sales coordinator,8895,Professional Services,Industrial Machinery and Equipment Repair and Maintenance,598000.0
114,149,internship,5390,,,
115,152,senior recruitment analyst,9862,,,
116,153,talent acquisition marketing (sourcing) specialist,11202,,,
117,154,recruitment sourcing associate,8474,,,
118,156,technical support representative,11599,Nonprofits,Religious Organization,720000.0
119,160,rpa engineer,8833,,,
120,162,quality assurance analyst,8182,Government,Government,800000.0
121,164,microsoft ips - showcase strategy lead,6666,,,
122,170,system implementation specialist,11109,,,
123,171,contact center implementation engineer,2111,,,
124,172,heating air conditioning service technician,4318,,,
125,174,hr service delivery new associate,4736,,,
126,177,qaqc administrator / engr. advisor,8163,,,
127,178,site civil engineer,10300,,,
128,179,recruiting senior analyst - campus strategic sourcing,8347,,,
129,180,recruiting analyst - campus strategic sourcing,8338,,,
130,182,human resources specialist,5022,,,
131,186,inbound retention specialist,5089,,,
132,188,registered psychometrician,8587,,,
133,189,technical support associate ii,11565,,,
134,190,recruitment and admin assistant,8390,,,
135,191,human resources administrative assistant,4929,,,
136,193,human resources officer,4995,,,
137,195,human resources coordinator,4962,,,
138,196,guidance counselor/hr staff,4124,,,
139,197,hr staff/guidance staff,4791,,,
140,199,purchasing assistant,8121,Construction,Real Estate Development,390000.0
141,200,warehouse operations intern,12212,,,
142,206,service crew,10141,,,
143,207,technology architecture manager,11656,,,
144,208,instructor,5239,,,
145,211,payroll benefits specialist,7243,,,
146,213,assistant preschool teacher,714,,,
147,214,application development associate,476,,,
148,217,subject matter expert,10906,,,
149,218,security and compliance officer,9186,,,
150,219,technical specialist,11547,Professional Services,Travel and Hospitality Services,800000.0
151,220,quality analyst,8172,Finance and Insurance,Insurance and Financial Services,788000.0
152,221,customer service analyst,2582,,,
153,222,intra-day operations analyst,5405,,,
154,223,workforce analyst,12321,,,
155,224,real time analyst,8307,,,
156,225,technical solutions specialist level 2 (service desk),11545,,,
157,226,technical solutions specialist,11542,,,
158,229,java developer,5677,Finance and Insurance,Insurance and Financial Services,2405000.0
159,233,java consultant,5676,,,
160,235,human resources business partner specialist,4957,,,
161,238,application specialist,499,,,
162,239,programmer/system analyst,7879,,,
163,240,team lead/programmer,11374,,,
164,241,corporate recruiter,2271,,,
165,242,human resources associate - onboarding and background check,4951,,,
166,243,data analyst,2709,Education,Education,1300000.0
167,245,java application developer,5673,,,
168,246,java fullstack application developer,5683,,,
169,248,application support specialist/java application developer,507,,,
170,250,recruitment admin assistant,8365,,,
171,254,advanced application engineering specialists,328,,,
172,255,senior software engineering,9941,,,
173,256,mobile developer / web developer,6710,,,
174,257,php developer,7338,Technology,Software Services,660000.0
175,261,coordinator,2194,,,
176,262,authorized coordinator for agilent technologies,1051,,,
177,263,technical sourcer,11546,Engineering and Sciences,Business Process Outsourcing,360000.0
178,264,senior recruitment associate,9863,,,
179,265,executive recruitment & candidate management,3447,,,
180,266,talent acquisition associate,11183,,,
181,270,project worker,8063,,,
182,271,frontend web developer,3823,,,
183,273,talent acquisition specialist - technical/ i.t. recruiter,11219,,,
184,274,recruitment generalist,8436,,,
185,275,processor/recruitment analyst,7606,,,
186,276,recruitment assistant,8400,,,
187,278,software test engineer,10470,,,
188,280,product engineering intern,7699,,,
189,282,asp. net developer specialist,585,,,
190,284,hr recruitment associate,4707,,,
191,285,hr administrator,4397,,,
192,287,sales executive,8905,Technology,Information Technology (IT) Systems Design or Integration,864000.0
193,290,human resource officer,4900,,,
194,291,human resource assistant,4877,,,
195,292,human resources intern,4976,,,
196,293,recruitment operations service delivery leader,8460,,,
