,skill,skill_code
0,cloud applications,1062
1,production support,4861
2,software development,5827
3,software development life cycle (sdlc),5828
4,angular,275
5,selenium,5635
6,c#,816
7,angularjs,286
8,.net framework,16
9,oracle database,4321
10,microsoft sql server,3892
11,software testing,5854
12,software installation,5837
13,javascript,3272
14,python (programming language),5007
15,asp.net,399
16,arduino,372
17,asp.net mvc,404
18,computer-literate performer,1217
19,electronic engineering,1930
20,customer service,1525
21,project management,4926
22,quality assurance testing,5025
23,quality assurance,5022
24,qa,5011
25,english,2053
26,marketing,3703
27,communication,1124
28,problem solving,4766
29,design,1706
30,presentations,4718
31,management,3658
32,technical support,6311
33,call centers,846
34,service delivery,5673
35,service desk,5675
36,bpo,682
38,contact centers,1282
39,customer satisfaction,1523
40,outsourcing,4423
41,team management,6262
42,troubleshooting,6510
44,training,6458
45,vendor management,6648
46,performance management,4527
47,itil certified,3230
48,six sigma,5751
49,knowledge management,3384
50,project management body of knowledge (pmbok),4927
53,visual basic .net (vb.net),6699
55,computer networking,1202
56,microsoft office,3864
57,data visualization,1626
58,responsive web design,5222
59,figma,2284
60,bootstrap,676
62,analytical skills,266
64,systems analysis,6197
65,user acceptance testing,6585
66,computer software training,1211
67,application support,343
68,system administration,6178
69,functional testing,2468
70,manual testing,3680
72,human resources (hr),2849
73,labor relations,3421
74,recruiting,5118
75,data analysis,1569
76,research,5198
77,spss,5951
78,adobe photoshop,160
80,microsoft excel,3858
81,microsoft word,3903
82,sourcing,5890
83,global talent acquisition,2555
85,css,1479
86,html,2822
87,java,3254
88,springboot,5946
89,android studio,274
90,linux,3551
91,gitlab,2538
92,human resources,2848
95,interviews,3117
97,screening,5590
99,time management,6418
100,benefits administration,601
101,temporary placement,6348
102,social networking,5805
103,employee relations,1997
104,online research,4240
105,personnel management,4552
106,onboarding,4224
107,employee benefits,1983
108,new hire orientations,4109
109,hr policies,2803
110,job descriptions,3301
111,screening resumes,5591
114,leadership,3453
115,public speaking,4986
117,human resource development,2845
124,strategic planning,6055
127,administrative assistance,132
128,microsoft powerpoint,3881
130,employee engagement,1987
133,social media,5795
134,office 365,4192
137,software engineers,5835
138,laravel,3437
139,codeigniter,1090
142,materialize css,3726
143,cascading style sheets (css),893
144,process optimization,4801
146,online marketing,4239
147,database design,1634
148,sass,5565
150,jquery,3320
151,react.js,5092
152,react native,5091
153,vagrant (software),6611
154,jira,3293
155,slack,5761
156,virtualbox,6694
158,front-end development,2455
159,ext js,2224
160,user interface design,6595
161,scrum,5595
162,sap cloud platform,5435
168,git,2535
169,sql,5955
170,php,4595
171,google cloud platform (gcp),2587
172,tensorflow,6354
173,agile web development,205
174,agile application development,194
175,front-end coding,2452
178,microsoft certified professional,3845
179,microsoft project,3883
180,microsoft project server,3885
183,service-level agreements (sla),5692
184,program management,4899
185,project management office (pmo),4929
187,project planning,4934
188,business process,782
189,change management,945
190,business process improvement,788
191,business analysis,741
192,resource management,5216
195,teamwork,6279
197,customer relationship management (crm),1519
199,phpmyadmin,4600
200,maven,3740
202,spring boot,5941
203,mysql,4041
204,sap fico,5460
205,sap hana,5468
206,excellent interpersonal skills,2186
207,lean manufacturing,3468
209,good communication skill,2565
210,"computer literate (ms excel, powerpoint, word)",1199
211,knowledgeable in sap,3398
212,highly self-motivated,2726
225,employee training,2003
226,deferred compensation,1686
228,talent acquisition,6212
230,hiring,2729
231,interviewing,3114
232,job fairs,3303
234,business planning,780
235,business operations,774
236,computer proficiency,1204
248,easily adaptable,1869
249,team leadership,6261
257,crm,1458
261,strategy,6068
269,computer literacy,1196
271,autocad,450
272,literacy,3558
273,observation,4178
276,api testing,317
277,test planning,6376
278,requirements analysis,5194
279,regression testing,5154
280,non-functional testing,4141
281,software testing life cycle (stlc),5856
282,defect identification,1678
283,defect logging,1680
284,defect tracking,1683
285,defect life cycle,1679
286,verification and validation (v&v),6658
288,azure devops,503
289,html5,2830
291,node.js,4137
293,express.js,2222
294,mongodb,3964
297,next.js,4123
301,automation anywhere,463
302,ibm watson,2900
303,microsoft azure machine learning,3840
304,dialogflow,1745
305,uipath,6541
306,machine learning,3619
307,rstudio,5310
308,r (programming language),5060
309,strategic sourcing,6062
311,new hire onboarding,4107
314,talent sourcing,6220
315,recruitment administration,5122
317,payroll,4486
318,201 filing,18
320,compliance,1167
321,candidate experience,855
327,team spirit,6271
328,taleo,6221
329,sap pp,5508
330,sap apo,5411
331,sap abap,5405
333,test script design,6379
334,software design,5824
337,infrastructure as code (iac),2995
338,powershell,4698
339,yaml,6950
341,nosql,4150
343,agile methodologies,199
344,azure cosmos db,497
346,amazon web services (aws),250
347,microsoft azure,3836
349,terraform,6360
350,incident management,2944
351,shell scripting,5713
358,unix,6562
362,pl/sql,4620
366,consumer relations,1274
367,eai,1868
368,autoit,456
372,business development,752
374,consulting,1264
376,rpo,5307
378,technical recruiting,6300
384,contract recruitment,1311
385,sap,5400
387,integration,3037
389,oracle,4301
399,phone screening,4586
402,applicant tracking systems,330
405,talent management,6217
407,talent,6211
417,organization skills,4384
420,google docs,2589
421,phone etiquette,4584
423,intrapersonal skills,3119
424,education,1892
432,worksoft certify,6914
434,sap basis,5420
435,salesforce automation,5374
436,test automation,6363
437,tricentis tosca,6507
438,sap manufacturing,5489
439,sap production planning,5511
446,microsoft dynamics 365,3849
447,microsoft dynamics crm,3852
449,c (programming language),813
451,networking,4098
453,sharepoint,5706
456,reporting & analysis,5188
457,sas programming,5562
458,e-commerce,1858
459,business-to-business (b2b),808
460,b2b commerce,510
461,electronic data interchange (edi),1929
462,file management,2287
463,agile,190
465,process automation,4774
467,service management,5682
473,clinical data management,1045
475,coupa,1404
477,software analysis,5817
478,software quality,5846
479,computer science,1206
480,computer hardware troubleshooting,1194
481,software troubleshooting,5857
483,conputer,1247
490,software documentation,5831
493,powerpoint,4696
495,data flow,1593
504,information technology,2988
507,c++,822
509,android development,272
530,oracle sql developer,4356
531,peoplesoft,4517
532,sketchup,5756
539,sales,5337
541,substance abuse counseling,6099
542,mental health counseling,3793
545,english grammar,2056
546,sap ariba,5415
547,process improvement,4792
549,data presentation,1607
550,process flow charts,4784
551,time and motion study,6417
552,industrial engineering,2955
553,engineering,2044
554,visual basic for applications (vba),6702
558,technical writing,6315
567,software quality assurance,5847
570,public relations,4985
576,databases,1643
579,db2,1651
580,ibm mainframe,2890
